epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9173,2.89686,5.20089,4.01594,0,0,0,0,2.88408,5.13089,3.78743,0.0702362,0.00330709,0.00330709
2,78.5568,2.82028,4.83511,3.52172,0.88604,0.02452,0.0147,0.00603,2.62695,4.63369,3.29472,0.0402358,0.00664001,0.00664001
3,113.601,2.50959,4.44293,3.08036,0.43422,0.08595,0.02196,0.01109,2.81815,6.39197,3.38441,0.0102338,0.00997132,0.00997132
4,148.774,2.21223,3.97708,2.74324,0.30217,0.12484,0.05525,0.02615,2.13233,4.12116,2.71429,0.0099945,0.0099945,0.0099945
5,183.654,1.98296,3.50156,2.49389,0.33271,0.19437,0.09921,0.04609,2.01255,3.82404,2.52164,0.00999023,0.00999023,0.00999023
6,218.562,1.8886,3.20032,2.36765,0.47973,0.18754,0.16342,0.07992,1.91201,3.23253,2.40413,0.00998474,0.00998474,0.00998474
7,253.649,1.8416,2.98394,2.31036,0.27526,0.24025,0.17477,0.0879,1.8596,3.41477,2.33473,0.00997803,0.00997803,0.00997803
8,288.518,1.80117,2.82245,2.26303,0.33258,0.31413,0.21761,0.1168,1.81151,2.92717,2.26392,0.00997011,0.00997011,0.00997011
9,323.435,1.76945,2.65902,2.2255,0.30283,0.33348,0.25929,0.13762,1.84399,2.91347,2.29149,0.00996097,0.00996097,0.00996097
10,358.274,1.75255,2.55515,2.18978,0.34309,0.31725,0.28107,0.14777,1.82937,2.56695,2.26099,0.00995062,0.00995062,0.00995062
11,393.012,1.73427,2.45045,2.17438,0.33476,0.38529,0.31934,0.16503,1.83642,2.42138,2.26323,0.00993906,0.00993906,0.00993906
12,427.717,1.71395,2.38289,2.14615,0.31866,0.36194,0.27365,0.14686,1.78473,2.58294,2.20614,0.00992629,0.00992629,0.00992629
13,462.416,1.68878,2.28775,2.12244,0.36952,0.32507,0.33381,0.18679,1.75002,2.34645,2.17711,0.00991232,0.00991232,0.00991232
14,497.105,1.68387,2.21723,2.10234,0.33674,0.31117,0.30956,0.16486,1.7737,2.4058,2.20243,0.00989715,0.00989715,0.00989715
15,531.863,1.65804,2.14792,2.07306,0.38607,0.37692,0.33785,0.17272,1.80121,2.37738,2.19813,0.00988079,0.00988079,0.00988079
16,566.597,1.64694,2.07866,2.06054,0.31721,0.40627,0.33653,0.18665,1.71501,2.38167,2.12859,0.00986323,0.00986323,0.00986323
17,601.349,1.63635,2.02072,2.04119,0.38511,0.42627,0.3994,0.21696,1.70815,2.17071,2.12521,0.00984449,0.00984449,0.00984449
18,636.003,1.60925,1.95753,2.02218,0.42884,0.42669,0.39755,0.2168,1.72077,2.08995,2.13976,0.00982456,0.00982456,0.00982456
19,670.715,1.60429,1.91504,2.0018,0.45392,0.45639,0.44755,0.24593,1.68374,1.95656,2.08921,0.00980345,0.00980345,0.00980345
20,705.372,1.59499,1.8613,1.98958,0.45864,0.43746,0.42339,0.23782,1.71289,2.04421,2.11616,0.00978118,0.00978118,0.00978118
21,740.141,1.59042,1.79325,1.98534,0.47963,0.46617,0.48494,0.2712,1.68557,1.9298,2.09552,0.00975773,0.00975773,0.00975773
22,774.827,1.57782,1.79377,1.97496,0.45574,0.50387,0.48607,0.27594,1.64876,1.79754,2.05818,0.00973312,0.00973312,0.00973312
23,809.572,1.55714,1.68463,1.95194,0.44337,0.52167,0.48672,0.27827,1.65504,1.81594,2.03263,0.00970736,0.00970736,0.00970736
24,844.291,1.55316,1.6924,1.94198,0.53869,0.49946,0.53862,0.31171,1.63725,1.72482,2.02706,0.00968045,0.00968045,0.00968045
25,879.031,1.54771,1.62193,1.92761,0.57395,0.50915,0.53708,0.30989,1.65495,1.72458,2.03503,0.00965239,0.00965239,0.00965239
26,913.73,1.52662,1.60214,1.91652,0.47517,0.53975,0.50967,0.29297,1.6469,1.72126,2.03392,0.0096232,0.0096232,0.0096232
27,948.327,1.51789,1.58177,1.90294,0.5509,0.52347,0.55343,0.31903,1.64082,1.66123,2.01802,0.00959289,0.00959289,0.00959289
28,982.923,1.49854,1.542,1.88635,0.55808,0.54835,0.55977,0.32423,1.64621,1.58767,2.0232,0.00956145,0.00956145,0.00956145
29,1017.65,1.48553,1.50338,1.87225,0.56272,0.4593,0.52474,0.3039,1.65709,1.71755,2.03331,0.00952889,0.00952889,0.00952889
30,1052.26,1.4874,1.49884,1.87036,0.56637,0.55928,0.58792,0.34348,1.61553,1.60206,1.99555,0.00949524,0.00949524,0.00949524
31,1086.99,1.47572,1.46744,1.86172,0.57496,0.53897,0.57603,0.33281,1.63347,1.59164,2.00203,0.00946048,0.00946048,0.00946048
32,1121.53,1.45622,1.42081,1.83742,0.58277,0.58706,0.61562,0.35664,1.61834,1.49588,1.97059,0.00942464,0.00942464,0.00942464
33,1156.17,1.46021,1.38504,1.83279,0.60817,0.55644,0.58998,0.34352,1.61862,1.57669,2.00695,0.00938772,0.00938772,0.00938772
34,1190.79,1.44119,1.39575,1.83036,0.56396,0.53063,0.57437,0.34676,1.60991,1.62617,1.99177,0.00934973,0.00934973,0.00934973
35,1225.4,1.43306,1.38082,1.81153,0.63489,0.56862,0.61958,0.3684,1.60417,1.52449,1.98093,0.00931067,0.00931067,0.00931067
36,1260.02,1.41245,1.33168,1.80498,0.61056,0.58535,0.60306,0.35982,1.59885,1.50044,1.97906,0.00927057,0.00927057,0.00927057
37,1294.58,1.41127,1.30023,1.80085,0.64037,0.60149,0.65838,0.39253,1.57034,1.36686,1.9332,0.00922942,0.00922942,0.00922942
38,1329.22,1.40039,1.2767,1.7825,0.63932,0.61466,0.65805,0.38718,1.59807,1.37274,1.95121,0.00918725,0.00918725,0.00918725
39,1363.83,1.39785,1.27486,1.77574,0.61625,0.58227,0.62663,0.38287,1.59622,1.50572,1.9772,0.00914405,0.00914405,0.00914405
40,1398.41,1.37964,1.25279,1.7656,0.63465,0.64148,0.66995,0.40535,1.57434,1.33615,1.94707,0.00909984,0.00909984,0.00909984
41,1433.09,1.37378,1.23899,1.75247,0.59439,0.6256,0.66051,0.40095,1.57614,1.40154,1.94384,0.00905463,0.00905463,0.00905463
42,1467.74,1.36218,1.21284,1.74632,0.69972,0.565,0.65369,0.39465,1.58574,1.38663,1.96625,0.00900844,0.00900844,0.00900844
43,1502.34,1.35102,1.17543,1.73215,0.66179,0.60023,0.67706,0.40912,1.56532,1.31325,1.94051,0.00896127,0.00896127,0.00896127
44,1536.95,1.3396,1.15531,1.72723,0.68524,0.64687,0.70182,0.41959,1.57094,1.30326,1.94929,0.00891313,0.00891313,0.00891313
45,1571.58,1.32709,1.16472,1.70826,0.61017,0.62837,0.66371,0.40454,1.55771,1.31521,1.93095,0.00886404,0.00886404,0.00886404
46,1606.15,1.32038,1.14706,1.70142,0.67861,0.62747,0.69714,0.41957,1.5778,1.31872,1.95351,0.00881401,0.00881401,0.00881401
47,1640.72,1.2995,1.1139,1.68825,0.66835,0.6278,0.69189,0.412,1.56829,1.28652,1.93785,0.00876305,0.00876305,0.00876305
48,1675.23,1.2883,1.09855,1.67694,0.7147,0.62153,0.70282,0.43412,1.56228,1.29011,1.93726,0.00871117,0.00871117,0.00871117
49,1709.84,1.29778,1.09436,1.68602,0.7106,0.6649,0.71295,0.43427,1.5532,1.24879,1.91747,0.00865839,0.00865839,0.00865839
50,1744.41,1.26571,1.06587,1.65645,0.71417,0.67092,0.72695,0.44621,1.53822,1.21303,1.90997,0.00860473,0.00860473,0.00860473
51,1779.06,1.27111,1.05018,1.65652,0.67083,0.67633,0.71967,0.44351,1.53908,1.23653,1.91938,0.00855018,0.00855018,0.00855018
52,1813.6,1.26563,1.04387,1.64937,0.75099,0.67116,0.74199,0.45221,1.54376,1.18783,1.91343,0.00849477,0.00849477,0.00849477
53,1848.21,1.25163,1.04353,1.64129,0.71373,0.69231,0.73575,0.44528,1.54682,1.19981,1.91686,0.00843851,0.00843851,0.00843851
54,1882.76,1.24652,1.03287,1.63451,0.73549,0.66712,0.73696,0.44601,1.53999,1.18874,1.90708,0.00838141,0.00838141,0.00838141
55,1917.34,1.23388,1.01479,1.6273,0.75143,0.68195,0.74595,0.45646,1.54882,1.21846,1.92254,0.00832349,0.00832349,0.00832349
56,1951.89,1.22079,0.98352,1.60965,0.74575,0.70098,0.76399,0.46892,1.53681,1.16142,1.90545,0.00826477,0.00826477,0.00826477
57,1986.48,1.19599,0.96383,1.59027,0.70924,0.68767,0.74233,0.45916,1.54512,1.1909,1.92256,0.00820525,0.00820525,0.00820525
58,2021,1.2052,0.9757,1.59451,0.77842,0.66585,0.76938,0.47469,1.52787,1.13881,1.90311,0.00814495,0.00814495,0.00814495
59,2055.58,1.18713,0.95086,1.58103,0.74878,0.67559,0.75211,0.46527,1.53316,1.15339,1.91649,0.00808389,0.00808389,0.00808389
60,2090.12,1.18607,0.94113,1.57527,0.7726,0.68034,0.76733,0.46902,1.51564,1.15261,1.88895,0.00802208,0.00802208,0.00802208
61,2124.65,1.16756,0.92621,1.5611,0.75418,0.68698,0.76178,0.47555,1.5093,1.14384,1.88515,0.00795954,0.00795954,0.00795954
62,2159.24,1.16603,0.93272,1.55839,0.73664,0.70348,0.76256,0.4682,1.51251,1.14952,1.89269,0.00789628,0.00789628,0.00789628
63,2193.81,1.14583,0.89217,1.54129,0.74665,0.70742,0.77017,0.47923,1.51499,1.11593,1.91109,0.00783231,0.00783231,0.00783231
64,2228.37,1.14246,0.90803,1.54041,0.76514,0.71511,0.7734,0.48189,1.50943,1.13388,1.90227,0.00776766,0.00776766,0.00776766
65,2262.96,1.1384,0.9078,1.53441,0.77604,0.69751,0.77842,0.48645,1.49752,1.09691,1.89074,0.00770234,0.00770234,0.00770234
66,2297.57,1.1337,0.90371,1.5323,0.74355,0.73931,0.79691,0.49944,1.49849,1.1034,1.89265,0.00763637,0.00763637,0.00763637
67,2332.14,1.12767,0.88268,1.52455,0.79671,0.69404,0.7732,0.48901,1.50205,1.10234,1.89425,0.00756976,0.00756976,0.00756976
68,2366.7,1.1173,0.8675,1.51965,0.75853,0.71293,0.77306,0.48449,1.50621,1.11234,1.89383,0.00750252,0.00750252,0.00750252
69,2401.27,1.10488,0.86257,1.50552,0.76605,0.71145,0.78244,0.49468,1.50607,1.06955,1.90793,0.00743468,0.00743468,0.00743468
70,2435.83,1.10871,0.8582,1.50148,0.76769,0.70931,0.79345,0.49915,1.50761,1.07206,1.9051,0.00736625,0.00736625,0.00736625
71,2470.38,1.08588,0.84616,1.48657,0.77439,0.73674,0.80548,0.50814,1.49938,1.05282,1.88811,0.00729725,0.00729725,0.00729725
72,2505.18,1.08736,0.8177,1.48723,0.79896,0.71045,0.79396,0.50453,1.47885,1.04781,1.88202,0.0072277,0.0072277,0.0072277
73,2539.74,1.07133,0.83117,1.48136,0.79254,0.73561,0.80838,0.51063,1.47494,1.02943,1.86918,0.00715761,0.00715761,0.00715761
74,2574.31,1.04876,0.80696,1.45918,0.76493,0.72556,0.7882,0.5034,1.47202,1.05977,1.87093,0.007087,0.007087,0.007087
75,2608.96,1.06135,0.81578,1.46708,0.74345,0.72158,0.78651,0.50194,1.47793,1.04786,1.87099,0.00701588,0.00701588,0.00701588
76,2643.51,1.04065,0.79509,1.44273,0.78814,0.7445,0.80877,0.51669,1.46325,1.02901,1.86444,0.00694428,0.00694428,0.00694428
77,2678.07,1.04886,0.80015,1.4504,0.79535,0.73096,0.80985,0.51269,1.48233,1.02175,1.88701,0.00687222,0.00687222,0.00687222
78,2712.62,1.02532,0.78,1.42978,0.81613,0.73385,0.81562,0.52368,1.4667,1.01303,1.87095,0.0067997,0.0067997,0.0067997
79,2747.17,1.03711,0.7812,1.44133,0.78602,0.73378,0.80881,0.51952,1.4742,1.0278,1.87022,0.00672675,0.00672675,0.00672675
80,2781.71,1.02441,0.77113,1.42535,0.81279,0.71917,0.80931,0.51881,1.46715,1.01355,1.87322,0.00665339,0.00665339,0.00665339
81,2816.24,1.00426,0.76547,1.41574,0.84166,0.71194,0.81351,0.51356,1.46515,1.00125,1.88872,0.00657963,0.00657963,0.00657963
82,2850.81,1.01518,0.77699,1.41933,0.79118,0.74484,0.81416,0.52053,1.4635,0.99935,1.87838,0.0065055,0.0065055,0.0065055
83,2885.39,0.99994,0.75318,1.40403,0.83211,0.74271,0.82947,0.53667,1.45503,0.98753,1.86943,0.00643101,0.00643101,0.00643101
84,2919.97,0.99027,0.75998,1.40146,0.80251,0.73378,0.80944,0.52646,1.45502,1.00872,1.87728,0.00635617,0.00635617,0.00635617
85,2954.54,0.97937,0.73591,1.39216,0.81016,0.75849,0.82016,0.52758,1.44768,0.99543,1.86297,0.00628101,0.00628101,0.00628101
86,2989.12,0.97188,0.73719,1.38315,0.85209,0.72494,0.82349,0.53743,1.4586,0.97496,1.87535,0.00620555,0.00620555,0.00620555
87,3023.69,0.9587,0.71835,1.37053,0.78763,0.75452,0.8099,0.5248,1.44874,0.98931,1.87065,0.00612981,0.00612981,0.00612981
88,3058.25,0.95828,0.71361,1.37065,0.85095,0.71568,0.81708,0.53208,1.44689,0.97911,1.86743,0.0060538,0.0060538,0.0060538
89,3092.76,0.94521,0.70806,1.36394,0.82318,0.74591,0.8255,0.53984,1.43485,0.95844,1.86112,0.00597754,0.00597754,0.00597754
90,3127.34,0.95499,0.71053,1.36551,0.79503,0.7672,0.82487,0.53256,1.43902,0.96826,1.86876,0.00590105,0.00590105,0.00590105
91,3161.9,0.93707,0.70435,1.35464,0.82391,0.73996,0.82502,0.53529,1.44021,0.97041,1.86764,0.00582435,0.00582435,0.00582435
92,3196.45,0.92611,0.68834,1.34391,0.82155,0.76458,0.83361,0.54251,1.43115,0.95511,1.85011,0.00574746,0.00574746,0.00574746
