epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.3617,2.90358,5.23835,4.04277,0,0,0,0,2.88495,5.14897,3.8155,0.0702362,0.00330709,0.00330709
2,188.527,2.82519,4.89788,3.55327,0.00248,0.22713,0.00497,0.00182,2.78532,4.90931,3.5833,0.0402358,0.00664001,0.00664001
3,274.797,2.48614,4.47729,3.07007,0.41524,0.11272,0.04124,0.02162,2.40802,5.05816,2.98593,0.0102338,0.00997132,0.00997132
4,361.42,2.18063,3.9946,2.73686,0.42038,0.10591,0.0666,0.03285,2.15041,5.1141,2.71042,0.0099945,0.0099945,0.0099945
5,446.97,1.97278,3.52346,2.51337,0.30789,0.13005,0.08101,0.03653,2.02977,3.77399,2.60228,0.00999023,0.00999023,0.00999023
6,535.279,1.87762,3.22973,2.39398,0.31235,0.25654,0.15747,0.07864,1.88091,3.25406,2.41548,0.00998474,0.00998474,0.00998474
7,627.068,1.82987,3.01731,2.34026,0.31628,0.30475,0.2149,0.10425,1.88368,3.31214,2.41052,0.00997803,0.00997803,0.00997803
8,712.653,1.78781,2.87397,2.29441,0.46598,0.23494,0.20169,0.10671,1.82017,3.0474,2.31443,0.00997011,0.00997011,0.00997011
9,801.318,1.76607,2.70764,2.26438,0.33134,0.34202,0.25862,0.13791,1.79629,2.7588,2.31534,0.00996097,0.00996097,0.00996097
10,895.716,1.7418,2.61875,2.22276,0.3233,0.33753,0.27844,0.14628,1.77731,2.5771,2.28683,0.00995062,0.00995062,0.00995062
11,981.356,1.72526,2.4963,2.2057,0.29075,0.35966,0.30244,0.1518,1.85686,2.56863,2.34489,0.00993906,0.00993906,0.00993906
12,1073.93,1.70412,2.41613,2.17785,0.34215,0.36767,0.32102,0.17505,1.74837,2.4098,2.23209,0.00992629,0.00992629,0.00992629
13,1163.43,1.68565,2.33818,2.15289,0.32913,0.36877,0.3145,0.17085,1.73697,2.46014,2.18499,0.00991232,0.00991232,0.00991232
14,1256.16,1.68122,2.28051,2.14242,0.34267,0.40194,0.36014,0.19641,1.71471,2.21466,2.16186,0.00989715,0.00989715,0.00989715
15,1345.42,1.65987,2.19072,2.11335,0.36565,0.37991,0.34703,0.18124,1.74813,2.30371,2.21639,0.00988079,0.00988079,0.00988079
16,1428.54,1.6451,2.12183,2.09688,0.38019,0.4209,0.3872,0.20702,1.69443,2.28641,2.15726,0.00986323,0.00986323,0.00986323
17,1515.17,1.62967,2.05782,2.07321,0.48678,0.42145,0.42396,0.23305,1.69062,2.10346,2.13222,0.00984449,0.00984449,0.00984449
18,1614,1.60675,2.01635,2.05967,0.5061,0.42013,0.43022,0.23705,1.69089,2.01739,2.14806,0.00982456,0.00982456,0.00982456
19,1706.46,1.5976,1.96611,2.04231,0.41695,0.44625,0.43479,0.24417,1.67825,2.04509,2.13057,0.00980345,0.00980345,0.00980345
20,1786.85,1.58767,1.89721,2.0308,0.48309,0.45965,0.46122,0.26214,1.67978,1.95046,2.10288,0.00978118,0.00978118,0.00978118
21,1873.17,1.58515,1.86023,2.0167,0.51682,0.3936,0.40968,0.23176,1.68679,2.15931,2.11022,0.00975773,0.00975773,0.00975773
22,1959.55,1.57744,1.85587,2.01118,0.5221,0.4639,0.50622,0.28369,1.6442,1.82002,2.08455,0.00973312,0.00973312,0.00973312
23,2052.52,1.5508,1.72355,1.98654,0.4523,0.46415,0.47356,0.26782,1.64049,1.80182,2.05416,0.00970736,0.00970736,0.00970736
24,2129.58,1.54888,1.72831,1.97441,0.48671,0.49128,0.51128,0.287,1.68981,1.8951,2.1198,0.00968045,0.00968045,0.00968045
25,2224.71,1.5453,1.68086,1.96794,0.52616,0.48574,0.53619,0.30627,1.63302,1.72747,2.05136,0.00965239,0.00965239,0.00965239
26,2313.87,1.52947,1.6593,1.95694,0.51116,0.50486,0.52245,0.29852,1.64133,1.7222,2.06559,0.0096232,0.0096232,0.0096232
27,2412.46,1.51838,1.60381,1.94772,0.50593,0.49453,0.51558,0.29902,1.64145,1.68546,2.05114,0.00959289,0.00959289,0.00959289
28,2496.04,1.50216,1.58062,1.92343,0.49763,0.52353,0.51155,0.29297,1.63488,1.69866,2.03949,0.00956145,0.00956145,0.00956145
29,2588.55,1.48536,1.5492,1.91009,0.55775,0.53123,0.56762,0.3234,1.63854,1.59723,2.04207,0.00952889,0.00952889,0.00952889
30,2687.01,1.48505,1.52026,1.90822,0.59089,0.53831,0.5791,0.33447,1.60968,1.59151,2.03723,0.00949524,0.00949524,0.00949524
31,2776.31,1.48076,1.51415,1.89924,0.53912,0.53977,0.57299,0.32462,1.63208,1.58402,2.03945,0.00946048,0.00946048,0.00946048
32,2871.6,1.45716,1.45174,1.87698,0.55114,0.53381,0.56047,0.3134,1.63624,1.60786,2.0274,0.00942464,0.00942464,0.00942464
33,2970.26,1.45974,1.41584,1.8768,0.60442,0.51339,0.56264,0.32632,1.62795,1.69381,2.05819,0.00938772,0.00938772,0.00938772
34,3062.73,1.44782,1.44499,1.87439,0.56375,0.52202,0.56338,0.33027,1.60844,1.58425,2.00602,0.00934973,0.00934973,0.00934973
35,3151.83,1.43626,1.42629,1.85255,0.57203,0.55581,0.5696,0.32464,1.65274,1.59203,2.06676,0.00931067,0.00931067,0.00931067
36,3244.24,1.41377,1.35892,1.84172,0.64628,0.54411,0.62454,0.35743,1.67477,1.51222,2.07459,0.00927057,0.00927057,0.00927057
37,3333.99,1.41356,1.32979,1.83715,0.60821,0.59745,0.62635,0.36971,1.59608,1.43814,1.98777,0.00922942,0.00922942,0.00922942
38,3426.49,1.40682,1.30272,1.82019,0.58649,0.5425,0.59509,0.34695,1.60087,1.54043,1.98483,0.00918725,0.00918725,0.00918725
39,3518.98,1.39509,1.30896,1.81174,0.61857,0.63297,0.64526,0.3889,1.59917,1.41885,2.00086,0.00914405,0.00914405,0.00914405
40,3611.53,1.36769,1.26722,1.79412,0.58145,0.63191,0.65253,0.39575,1.56307,1.376,1.98986,0.00909984,0.00909984,0.00909984
41,3690.78,1.37678,1.26781,1.79861,0.65239,0.54315,0.62384,0.36774,1.5802,1.45243,1.98618,0.00905463,0.00905463,0.00905463
42,3776.16,1.35998,1.23921,1.77798,0.62471,0.57945,0.63881,0.37894,1.59789,1.40895,1.9895,0.00900844,0.00900844,0.00900844
43,3861.42,1.35892,1.20986,1.77643,0.63405,0.58943,0.64067,0.38941,1.55485,1.38165,1.952,0.00896127,0.00896127,0.00896127
44,3946.65,1.3451,1.18876,1.76456,0.63927,0.62948,0.67106,0.40228,1.56004,1.33521,1.95679,0.00891313,0.00891313,0.00891313
45,4025.66,1.32844,1.17567,1.75143,0.6323,0.6242,0.67422,0.40322,1.56838,1.35561,1.9864,0.00886404,0.00886404,0.00886404
46,4104.89,1.31378,1.157,1.73797,0.63652,0.6025,0.65346,0.39369,1.5785,1.34554,1.97087,0.00881401,0.00881401,0.00881401
47,4196.42,1.29923,1.1278,1.72509,0.69127,0.61738,0.67161,0.3988,1.58596,1.34772,1.99798,0.00876305,0.00876305,0.00876305
48,4287.74,1.28539,1.11378,1.71351,0.68797,0.63111,0.70571,0.42838,1.53887,1.30348,1.95469,0.00871117,0.00871117,0.00871117
49,4379.16,1.29571,1.09986,1.72348,0.64525,0.61432,0.68345,0.41482,1.56006,1.31283,1.94641,0.00865839,0.00865839,0.00865839
50,4473.16,1.27097,1.07908,1.69253,0.71111,0.61334,0.70103,0.4188,1.54808,1.26279,1.96906,0.00860473,0.00860473,0.00860473
51,4564.75,1.2788,1.07249,1.69932,0.63754,0.66649,0.71317,0.42936,1.5664,1.28126,1.97229,0.00855018,0.00855018,0.00855018
52,4647.03,1.2673,1.05873,1.68658,0.68286,0.67481,0.71564,0.4385,1.53932,1.19679,1.94351,0.00849477,0.00849477,0.00849477
53,4735.16,1.25209,1.04878,1.67443,0.71878,0.65016,0.72052,0.43182,1.55191,1.2718,1.95812,0.00843851,0.00843851,0.00843851
54,4820.37,1.24975,1.04168,1.6633,0.67192,0.67647,0.7248,0.44322,1.53771,1.21222,1.92603,0.00838141,0.00838141,0.00838141
55,4914.46,1.23429,1.03012,1.6555,0.70496,0.68453,0.7404,0.45371,1.53222,1.19628,1.94387,0.00832349,0.00832349,0.00832349
56,5002.62,1.21846,0.98901,1.64143,0.69575,0.68205,0.73055,0.447,1.52431,1.19783,1.93963,0.00826477,0.00826477,0.00826477
57,5094.32,1.20089,0.97669,1.62867,0.66883,0.6945,0.72634,0.44678,1.53091,1.20932,1.94226,0.00820525,0.00820525,0.00820525
58,5188.35,1.20098,0.97826,1.62607,0.73466,0.66658,0.76695,0.47362,1.531,1.16628,1.93929,0.00814495,0.00814495,0.00814495
59,5267.66,1.19168,0.95979,1.61874,0.7494,0.65571,0.74729,0.45916,1.52231,1.17229,1.93487,0.00808389,0.00808389,0.00808389
60,5361.68,1.18436,0.95147,1.60521,0.72987,0.68794,0.75202,0.46224,1.51633,1.18393,1.91806,0.00802208,0.00802208,0.00802208
61,5449.87,1.16835,0.93318,1.59594,0.75101,0.68368,0.75927,0.46937,1.51246,1.1405,1.92552,0.00795954,0.00795954,0.00795954
62,5535.43,1.17133,0.94108,1.59605,0.73188,0.68533,0.74815,0.45536,1.5188,1.14183,1.92214,0.00789628,0.00789628,0.00789628
63,5620.7,1.14291,0.89983,1.57174,0.71859,0.71059,0.75592,0.46513,1.51798,1.1338,1.93875,0.00783231,0.00783231,0.00783231
64,5708.73,1.14746,0.92204,1.57546,0.71938,0.71678,0.76797,0.47669,1.49857,1.13787,1.92102,0.00776766,0.00776766,0.00776766
65,5794.03,1.14162,0.91469,1.57051,0.73886,0.71657,0.77263,0.48245,1.49194,1.10092,1.91481,0.00770234,0.00770234,0.00770234
66,5879.6,1.137,0.89943,1.57127,0.71944,0.71704,0.77575,0.4856,1.48656,1.11069,1.91271,0.00763637,0.00763637,0.00763637
67,5973.91,1.12645,0.88532,1.55876,0.75308,0.68082,0.75761,0.47618,1.49364,1.11692,1.93236,0.00756976,0.00756976,0.00756976
68,6059.18,1.1165,0.86823,1.55349,0.69619,0.73183,0.76586,0.47989,1.50034,1.09891,1.93175,0.00750252,0.00750252,0.00750252
69,6147.27,1.10742,0.8655,1.54179,0.80117,0.70296,0.79134,0.49076,1.49073,1.08459,1.93049,0.00743468,0.00743468,0.00743468
70,6226.45,1.11143,0.86032,1.54029,0.73549,0.73436,0.79052,0.48836,1.50006,1.07734,1.92462,0.00736625,0.00736625,0.00736625
71,6311.9,1.08873,0.84697,1.52107,0.78621,0.72805,0.79156,0.49433,1.47711,1.06554,1.90336,0.00729725,0.00729725,0.00729725
72,6403.51,1.0813,0.82309,1.51409,0.73775,0.73247,0.77768,0.4819,1.48151,1.1104,1.93054,0.0072277,0.0072277,0.0072277
73,6488.72,1.07484,0.84167,1.51249,0.769,0.73151,0.78688,0.49124,1.47393,1.06922,1.92161,0.00715761,0.00715761,0.00715761
